,race_id,meet_date,course_id,distance,gender,racers_in_race,racers_w_prs,percent_prs
0,0,2018-08-13,675,310,b,5,0.0,0.0
1,1,2018-08-13,675,310,g,5,0.0,0.0
2,2,2018-08-17,139,190,b,66,25.0,37.878787878787875
3,3,2018-08-17,139,190,g,62,17.0,27.419354838709676
4,4,2018-08-17,461,200,b,48,20.0,41.66666666666667
5,5,2018-08-17,461,200,g,29,0.0,0.0
6,6,2018-08-17,676,310,b,6,0.0,0.0
7,7,2018-08-17,676,310,g,6,0.0,0.0
8,8,2018-08-18,784,310,b,10,0.0,0.0
9,9,2018-08-18,784,310,g,25,4.0,16.0
10,10,2018-08-18,1501,200,b,40,0.0,0.0
11,11,2018-08-18,1502,310,b,20,0.0,0.0
12,12,2018-08-18,1502,310,g,13,0.0,0.0
13,13,2018-08-21,914,310,g,42,12.0,28.57142857142857
14,14,2018-08-22,9,310,b,35,4.0,11.428571428571429
15,15,2018-08-22,9,310,g,23,3.0,13.043478260869565
16,16,2018-08-22,1352,186,b,33,11.0,33.33333333333333
17,17,2018-08-22,1352,186,g,29,14.0,48.275862068965516
18,18,2018-08-22,1636,300,b,49,0.0,0.0
19,19,2018-08-22,1636,300,g,31,0.0,0.0
20,20,2018-08-23,1396,225,b,36,5.0,13.88888888888889
21,21,2018-08-23,1396,225,g,21,2.0,9.523809523809524
22,22,2018-08-23,1503,310,b,24,7.0,29.166666666666668
23,23,2018-08-23,1503,310,g,17,3.0,17.647058823529413
24,24,2018-08-23,1506,200,b,42,0.0,0.0
25,25,2018-08-23,1506,200,g,30,0.0,0.0
26,26,2018-08-24,458,310,b,32,10.0,31.25
27,27,2018-08-24,458,310,g,22,4.0,18.181818181818183
28,28,2018-08-24,1350,200,g,12,3.0,25.0
29,29,2018-08-24,1351,250,b,12,1.0,8.333333333333332
30,30,2018-08-24,1388,310,b,47,8.0,17.02127659574468
31,31,2018-08-24,1388,310,g,41,7.0,17.073170731707318
32,32,2018-08-24,1416,200,b,113,40.0,35.39823008849557
33,33,2018-08-24,1416,200,g,48,10.0,20.833333333333336
34,34,2018-08-24,1665,186,b,22,4.0,18.181818181818183
35,35,2018-08-24,1665,186,g,5,3.0,60.0
36,36,2018-08-24,1685,255,b,26,7.0,26.923076923076923
37,37,2018-08-24,1685,255,g,13,5.0,38.46153846153847
38,38,2018-08-24,1727,200,g,26,0.0,0.0
39,39,2018-08-24,1728,310,b,16,0.0,0.0
40,40,2018-08-25,225,165,b,37,9.0,24.324324324324326
41,41,2018-08-25,225,165,g,39,8.0,20.51282051282051
42,42,2018-08-25,226,215,b,27,4.0,14.814814814814813
43,43,2018-08-25,322,310,b,28,0.0,0.0
44,44,2018-08-25,322,310,g,9,0.0,0.0
45,45,2018-08-25,589,250,b,225,63.0,28.000000000000004
46,46,2018-08-25,589,250,g,213,51.0,23.943661971830984
47,47,2018-08-25,676,310,b,10,1.0,10.0
48,48,2018-08-25,676,310,g,6,1.0,16.666666666666664
49,49,2018-08-25,792,200,b,26,13.0,50.0
50,50,2018-08-25,792,200,g,33,10.0,30.303030303030305
51,51,2018-08-25,1052,200,b,62,25.0,40.32258064516129
52,52,2018-08-25,1052,200,g,43,14.0,32.55813953488372
53,53,2018-08-25,1753,310,b,21,10.0,47.61904761904761
54,54,2018-08-25,1753,310,g,8,2.0,25.0
55,55,2018-08-28,1493,190,b,3,1.0,33.33333333333333
56,56,2018-08-28,1493,190,g,2,0.0,0.0
57,57,2018-08-28,1494,280,b,4,0.0,0.0
58,58,2018-08-28,1494,280,g,1,0.0,0.0
59,59,2018-08-28,1535,238,b,10,1.0,10.0
60,60,2018-08-28,1536,300,b,18,1.0,5.555555555555555
61,61,2018-08-29,1166,200,b,25,8.0,32.0
62,62,2018-08-29,1166,200,g,30,6.0,20.0
63,63,2018-08-30,6,274,b,17,4.0,23.52941176470588
64,64,2018-08-30,6,274,g,10,1.0,10.0
65,65,2018-08-30,215,300,b,15,3.0,20.0
66,66,2018-08-30,215,300,g,44,4.0,9.090909090909092
67,67,2018-08-30,845,310,b,22,4.0,18.181818181818183
68,68,2018-08-30,845,310,g,14,1.0,7.142857142857142
69,69,2018-08-30,1218,200,b,8,0.0,0.0
70,70,2018-08-30,1218,200,g,8,0.0,0.0
71,71,2018-08-30,1265,210,b,72,16.0,22.22222222222222
72,72,2018-08-30,1265,210,g,30,6.0,20.0
73,73,2018-08-30,1510,310,g,17,4.0,23.52941176470588
74,74,2018-08-31,238,272,b,53,0.0,0.0
75,75,2018-08-31,238,272,g,33,0.0,0.0
76,76,2018-08-31,351,250,b,17,3.0,17.647058823529413
77,77,2018-08-31,351,250,g,13,4.0,30.76923076923077
78,78,2018-08-31,678,310,b,11,2.0,18.181818181818183
79,79,2018-08-31,678,310,g,5,2.0,40.0
80,80,2018-08-31,1190,306,b,192,0.0,0.0
81,81,2018-08-31,1190,306,g,116,0.0,0.0
82,82,2018-08-31,1395,200,b,108,46.0,42.592592592592595
83,83,2018-08-31,1395,200,g,77,16.0,20.77922077922078
84,84,2018-08-31,1397,215,b,81,30.0,37.03703703703704
85,85,2018-08-31,1397,215,g,50,18.0,36.0
86,86,2018-08-31,1725,310,b,8,4.0,50.0
87,87,2018-08-31,1725,310,g,12,10.0,83.33333333333334
88,88,2018-08-31,1726,200,b,27,9.0,33.33333333333333
89,89,2018-08-31,1726,200,g,30,9.0,30.0
90,90,2018-09-01,93,200,b,221,60.0,27.149321266968325
91,91,2018-09-01,93,200,g,90,14.0,15.555555555555555
92,92,2018-09-01,94,300,b,51,8.0,15.686274509803921
93,93,2018-09-01,94,300,g,47,0.0,0.0
94,94,2018-09-01,192,300,b,296,99.0,33.44594594594595
95,95,2018-09-01,192,300,g,296,59.0,19.93243243243243
96,96,2018-09-01,254,300,b,42,10.0,23.809523809523807
97,97,2018-09-01,254,300,g,39,2.0,5.128205128205128
98,98,2018-09-01,416,294,b,10,1.0,10.0
99,99,2018-09-01,416,294,g,10,1.0,10.0
100,100,2018-09-01,459,186,b,60,27.0,45.0
101,101,2018-09-01,459,186,g,42,6.0,14.285714285714285
102,102,2018-09-01,604,200,b,25,0.0,0.0
103,103,2018-09-01,604,200,g,14,0.0,0.0
104,104,2018-09-01,869,250,b,65,17.0,26.153846153846157
105,105,2018-09-01,869,250,g,47,12.0,25.53191489361702
106,106,2018-09-01,1072,141,b,39,1.0,2.564102564102564
107,107,2018-09-01,1072,141,g,64,1.0,1.5625
108,108,2018-09-01,1073,310,b,21,3.0,14.285714285714285
109,109,2018-09-01,1073,310,g,15,1.0,6.666666666666667
110,110,2018-09-01,1150,300,b,31,6.0,19.35483870967742
111,111,2018-09-01,1150,300,g,18,2.0,11.11111111111111
112,112,2018-09-01,1183,300,b,32,0.0,0.0
113,113,2018-09-01,1183,300,g,11,0.0,0.0
114,114,2018-09-01,1184,200,b,31,0.0,0.0
115,115,2018-09-01,1184,200,g,19,0.0,0.0
116,116,2018-09-01,1188,220,b,104,38.0,36.53846153846153
117,117,2018-09-01,1188,220,g,73,17.0,23.28767123287671
118,118,2018-09-01,1401,200,b,86,5.0,5.813953488372093
119,119,2018-09-01,1401,200,g,87,0.0,0.0
120,120,2018-09-01,1518,310,b,10,0.0,0.0
121,121,2018-09-01,1518,310,g,10,0.0,0.0
122,122,2018-09-01,1525,200,g,3,0.0,0.0
123,123,2018-09-01,1526,310,b,9,0.0,0.0
124,124,2018-09-01,1528,300,b,32,12.0,37.5
125,125,2018-09-01,1528,300,g,98,10.0,10.204081632653061
126,126,2018-09-01,1645,310,b,8,0.0,0.0
127,127,2018-09-01,1645,310,g,8,0.0,0.0
128,128,2018-09-01,1667,186,b,8,1.0,12.5
129,129,2018-09-01,1667,186,g,5,1.0,20.0
130,130,2018-09-01,1668,310,b,19,5.0,26.31578947368421
131,131,2018-09-01,1668,310,g,11,5.0,45.45454545454545
132,132,2018-09-01,1699,310,b,11,4.0,36.36363636363637
133,133,2018-09-01,1699,310,g,5,1.0,20.0
134,134,2018-09-01,1736,310,b,1,0.0,0.0
135,135,2018-09-01,1737,210,b,28,9.0,32.142857142857146
136,136,2018-09-01,1738,310,b,24,4.0,16.666666666666664
137,137,2018-09-04,137,200,b,367,108.0,29.427792915531338
138,138,2018-09-04,137,200,g,226,55.0,24.336283185840706
139,139,2018-09-04,175,200,b,3,0.0,0.0
140,140,2018-09-04,175,200,g,1,0.0,0.0
141,141,2018-09-04,1415,200,b,91,44.0,48.35164835164835
142,142,2018-09-04,1415,200,g,61,23.0,37.704918032786885
143,143,2018-09-05,223,200,b,11,0.0,0.0
144,144,2018-09-05,223,200,g,9,0.0,0.0
145,145,2018-09-05,224,310,b,18,0.0,0.0
146,146,2018-09-05,224,310,g,6,0.0,0.0
147,147,2018-09-05,437,305,b,7,5.0,71.42857142857143
148,148,2018-09-05,437,305,g,7,1.0,14.285714285714285
149,149,2018-09-05,460,310,b,22,3.0,13.636363636363635
150,150,2018-09-05,460,310,g,9,1.0,11.11111111111111
151,151,2018-09-05,949,300,b,33,5.0,15.151515151515152
152,152,2018-09-05,949,300,g,16,1.0,6.25
153,153,2018-09-05,1392,210,b,18,2.0,11.11111111111111
154,154,2018-09-05,1392,210,g,5,1.0,20.0
155,155,2018-09-05,1475,300,b,37,5.0,13.513513513513514
156,156,2018-09-05,1475,300,g,31,13.0,41.935483870967744
157,157,2018-09-06,6,274,b,20,8.0,40.0
158,158,2018-09-06,6,274,g,11,1.0,9.090909090909092
159,159,2018-09-06,565,300,b,24,9.0,37.5
160,160,2018-09-06,565,300,g,15,6.0,40.0
161,161,2018-09-06,774,310,b,87,11.0,12.643678160919542
162,162,2018-09-06,774,310,g,44,2.0,4.545454545454546
