,runr_id,2018_beg_pace,2018_end_pace,school_id,team_size,gender,pace,num_races,rank,pct_rank,pr_time,race_diff,pr_flag,goal_set,log_entries_sept,log_entries_nov,log_entries_all,max_effort_log_entries_sept,max_effort_log_entries_nov,max_effort_log_entries_all,sum_effort_log_entries_nov,2018_improvement
0,93337,6.099538172043012,6.554276286313902,1113,158,0,6.31,10,19.3,0.11,80020,3959.0,8,0,40.0,205.0,1314.0,8.0,27.0,242.0,513.0,-0.45
1,93338,6.040506451612903,6.482491039426523,1113,158,0,6.2,8,13.1,0.07,76880,506.88,5,0,34.0,175.0,1004.0,1.0,3.0,105.0,526.0,-0.44
2,93339,7.748333333333334,7.7824267826825135,1113,158,0,7.66,6,52.7,0.51,83760,-1915.5,0,0,11.0,44.0,344.0,0.0,0.0,11.0,131.0,-0.03
3,93340,5.653888888888889,5.94513983210715,1113,158,1,5.79,9,67.4,0.39,68580,-872.67,3,0,35.0,166.0,993.0,0.0,0.0,5.0,498.0,-0.29
4,93342,7.973333333333333,7.1072435897435895,941,362,1,7.61,6,192.3,0.77,81460,-4471.5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87
5,93479,7.725824800910125,7.719166666666666,941,362,1,7.72,2,386.5,0.88,89110,-4660.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
6,93505,6.988393659062332,6.560511989377489,1068,169,1,6.72,7,162.7,0.55,76960,3837.14,3,2,21.0,42.0,256.0,0.0,0.0,7.0,126.0,0.43
7,93509,8.674222222222223,8.74537439869836,1113,158,0,8.71,4,84.0,0.86,92670,-9128.25,0,0,12.0,67.0,746.0,0.0,0.0,7.0,201.0,-0.07
8,93511,5.463631451612903,5.798835095972458,1113,158,1,5.63,10,45.4,0.25,71250,1874.9,7,0,18.0,34.0,415.0,3.0,6.0,66.0,84.0,-0.34
9,93512,5.537565860215054,5.751361447132616,1113,158,1,5.68,10,48.7,0.27,74810,3424.2,6,0,38.0,203.0,1071.0,2.0,7.0,90.0,501.0,-0.21
10,93513,7.763440860215054,7.529569892473118,977,333,0,7.71,5,14.0,0.36,128600,-6314.0,0,0,0.0,34.0,201.0,0.0,1.0,18.0,103.0,0.23
11,93547,6.745495698924731,6.8798010202477515,1113,158,0,6.76,8,29.8,0.25,83610,431.12,3,0,36.0,178.0,1033.0,1.0,2.0,49.0,525.0,-0.13
12,93552,7.706666666666667,7.8693333333333335,1113,158,0,7.79,2,139.5,0.55,88460,-2010.0,0,0,23.0,95.0,665.0,0.0,0.0,19.0,285.0,-0.16
13,93557,7.612724014336918,7.621684587813619,977,333,0,7.58,7,18.0,0.52,130854,-1466.57,1,0,0.0,16.0,105.0,0.0,1.0,10.0,49.0,-0.01
14,93752,6.688172043010752,6.716666666666666,977,333,0,6.68,8,6.8,0.19,119910,1096.12,4,0,0.0,77.0,155.0,0.0,12.0,34.0,183.0,-0.03
15,93756,5.098148148148148,5.138551373954599,931,111,1,5.12,9,16.8,0.07,89670,855.0,5,0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,-0.04
16,93760,6.709671717171718,7.333333333333333,957,263,0,7.02,6,62.2,0.45,93780,2570.0,3,0,30.0,105.0,148.0,0.0,2.0,5.0,317.0,-0.62
17,93780,5.432025089605735,5.522703703703704,931,111,1,5.47,7,47.7,0.24,92060,-1972.29,0,0,0.0,0.0,191.0,0.0,0.0,39.0,0.0,-0.09
18,93792,5.544908361970218,6.024972222222223,992,231,1,5.76,5,45.6,0.18,95988,-196.2,1,0,27.0,82.0,568.0,7.0,21.0,41.0,255.0,-0.48
19,93874,5.638351254480287,5.867611111111111,931,111,1,5.72,7,67.1,0.34,98740,-1204.43,2,0,0.0,0.0,504.0,0.0,0.0,236.0,0.0,-0.23
20,94091,5.6800630011454745,5.806907407407408,992,231,1,5.75,7,63.1,0.28,66700,-291.14,1,0,28.0,115.0,543.0,0.0,0.0,6.0,345.0,-0.13
21,94094,5.224207497321066,5.332004778972521,992,231,1,5.34,9,40.6,0.17,62530,2837.0,3,0,27.0,107.0,524.0,0.0,0.0,8.0,321.0,-0.11
22,94099,6.579166666666667,6.789694444444445,992,231,1,6.54,6,141.7,0.54,74120,5395.83,1,0,18.0,51.0,193.0,0.0,1.0,10.0,152.0,-0.21
23,94101,7.975055555555556,8.400288957159924,1088,76,1,8.1,7,181.7,0.93,114820,-4693.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43
